"iata","name","state","country","latitude","longitude","totalflights","numberofdelays","delaypercentage"
"PCK","Porcupine Creek","AK","USA","67.23789833","-150.2860608","","",""
"8D7","Clark County","SD","USA","44.89570278","-97.71191361","","",""
"17M","Magee Municipal","MS","USA","31.86127139","-89.80285361","","",""
"FTY","Fulton County - Brown ","GA","USA","33.77913889","-84.52136111","","",""
"IRK","Kirksville Regional","MO","USA","40.09364444","-92.54496917","","",""
"HEZ","Natchez-Adams County","MS","USA","31.61366111","-91.29733639","","",""
"SZY","Robert Sibley","TN","USA","35.20295","-88.49836139","","",""
"L12","Redlands Municipal","CA","USA","34.08526167","-117.1463789","","",""
"18I","McCreary County ","KY","USA","36.69591306","-84.39160389","","",""
"PYG","Pageland","SC","USA","34.74213889","-80.34519444","","",""
"O54","Lonnie Pool /Weaverville","CA","USA","40.7457","-122.92197","","",""
"2D1","Barber","OH","USA","40.97089139","-81.09981889","","",""
"SD16","Eureka Municipal","SD","USA","45.79998111","-99.6420625","","",""
"2G2","Jefferson County Airpark","OH","USA","40.35944306","-80.70007806","","",""
"FVX","Farmville Municipal","VA","USA","37.35752861","-78.43779806","","",""
"EYE","Eagle Creek Airpark","IN","USA","39.83070944","-86.29438056","","",""
"4B1","Duanesburg","NY","USA","42.75840889","-74.13290472","","",""
"ETH","Wheaton Municipal","MN","USA","45.78046056","-96.54353972","","",""
"3R1","Bay City Municipal","TX","USA","28.973255","-95.86345528","","",""
"4R3","Jackson Municipal","AL","USA","31.47210861","-87.89472083","","",""
"SD32","Murdo Municipal","SD","USA","43.85165639","-100.7120811","","",""
"4O3","Blackwell-Tonkawa Municipal","OK","USA","36.74511583","-97.34959972","","",""
"3U8","Big Sandy","MT","USA","48.16247972","-110.1132631","","",""
"F21","Memphis Municipal","TX","USA","34.73958944","-100.5297008","","",""
"32S","Stevensville","MT","USA","46.52511111","-114.0528056","","",""
"U08","Perkins ","NV","USA","36.56803","-114.4433133","","",""
"CBK","Shaltz ","KS","USA","39.42753083","-101.0465719","","",""
"2B7","Pittsfield Municipal","ME","USA","44.76852778","-69.37441667","","",""
"TBR","Statesboro Municipal","GA","USA","32.48316667","-81.73727778","","",""
"RUG","Rugby Municipal","ND","USA","48.39035917","-100.0242739","","",""
"61C","Fort Atkinson Municipal","WI","USA","42.96320278","-88.81762806","","",""
"GNF","Grenada Municipal","MS","USA","33.83253","-89.79822806","","",""
"BDQ","Morrilton Municipal","AR","USA","35.13619528","-92.71349722","","",""
"PWD","Sher-Wood","MT","USA","48.79030583","-104.533845","","",""
"M04","Covington Municipal","TN","USA","35.583365","-89.58722167","","",""
"3CM","James Clements Municipal","MI","USA","43.54691667","-83.89550222","","",""
"MKL","McKellar-Sipes Regional","TN","USA","35.59987944","-88.91561611","","",""
"HSP","Ingalls ","VA","USA","37.95144444","-79.83389444","","",""
"FSK","Fort Scott Municipal","KS","USA","37.79843056","-94.76938111","","",""
"EKN","Elkins-Randolph Co-Jennings Randolph","WV","USA","38.88944444","-79.85713889","","",""
"PCM","Plant City Municipal","FL","USA","28.00021667","-82.16424167","","",""
"BVK","Buckland","AK","USA","65.98228611","-161.1519778","","",""
"Y27","Standing Rock","ND","USA","46.06638556","-100.6348492","","",""
"SRC","Searcy Municipal","AR","USA","35.21194639","-91.737165","","",""
"Q26","Terry County","TX","USA","33.173675","-102.1926208","","",""
"S68","Orofino Municipal","ID","USA","46.49129139","-116.2768061","","",""
"EOS","Neosho Memorial","MO","USA","36.81080556","-94.39169444","","",""
"PAE","Snohomish County ","WA","USA","47.90762861","-122.2815892","","",""
"I32","Morehead-Rowan County","KY","USA","38.13341472","-83.53796528","","",""
"MFV","Accomack County","VA","USA","37.64688889","-75.76105556","","",""
"BML","Berlin Municipal","NH","USA","44.57537278","-71.17593167","","",""
"1ND3","Hamry ","ND","USA","46.6485775","-97.00564306","","",""
"09J","Jekyll Island","GA","USA","31.07447222","-81.42777778","","",""
"T78","Liberty Municipal","TX","USA","30.07780556","-94.69855556","","",""
"SGS","South St.Paul Municipal","MN","USA","44.85713278","-93.03285389","","",""
"M48","Houston Memorial","MO","USA","37.33009167","-91.97316944","","",""
"S73","Kamiah Municipal","ID","USA","46.21934028","-116.0134736","","",""
"24J","Suwannee County","FL","USA","30.30105583","-83.02318778","","",""
"ICL","Schenck ","IA","USA","40.72178361","-95.02642667","","",""
"RGK","Red Wing Municipal","MN","USA","44.58935611","-92.48496889","","",""
"LFK","Lufkin-Angelina County","TX","USA","31.23401389","-94.75","","",""
"68S","Davenport","WA","USA","47.65404528","-118.1677519","","",""
"CXU","Camilla-Mitchell County","GA","USA","31.21291667","-84.23680556","","",""
"45R","Kountz - Hawthorne ","TX","USA","30.33633806","-94.25754361","","",""
"RYV","Watertown Municipal","WI","USA","43.16963222","-88.72321222","","",""
"3T5","Fayette Regional Air Center","TX","USA","29.90930556","-96.9505","","",""
"1A3","Martin Campbell ","TN","USA","35.01619111","-84.34631083","","",""
"RNT","Renton Municipal","WA","USA","47.49313889","-122.21575","","",""
"U69","Duchesne Municipal","UT","USA","40.19190167","-110.3809886","","",""
"L67","Rialto Municipal ","CA","USA","34.12934361","-117.4016303","","",""
"SUS","Spirit of St Louis","MO","USA","38.66187028","-90.65123","","",""
"17Z","Manokotak","AK","USA","58.98896583","-159.0499739","","",""
"51Z","Minto (New)","AK","USA","65.14370889","-149.3699647","","",""
"5TE","Tetlin","AK","USA","63.13382361","-142.5219339","","",""
"2O3","Angwin-Parrett ","CA","USA","38.57851778","-122.4352572","","",""
"ONP","Newport Muni","OR","USA","44.58036111","-124.0579167","","",""
"FWS","Spinks","TX","USA","32.56522778","-97.30807778","","",""
"08D","Stanley Municipal","ND","USA","48.30079861","-102.4063514","","",""
"GZS","Abernathy ","TN","USA","35.15371972","-87.05681444","","",""
"AIA","Alliance Municipal","NE","USA","42.05325","-102.8037222","","",""
"54J","Defuniak Springs","FL","USA","30.7313","-86.15160833","","",""
"POF","Poplar Bluff Municipal","MO","USA","36.77394444","-90.32484722","","",""
"P08","Coolidge Municipal","AZ","USA","32.93594444","-111.4265278","","",""
"CDN","Woodward ","SC","USA","34.28358333","-80.56486111","","",""
"DYB","Summerville","SC","USA","33.06344444","-80.27933333","","",""
"ISW","Alexander ","WI","USA","44.36033833","-89.83897056","","",""
"VEL","Vernal","UT","USA","40.44090167","-109.5099203","","",""
"MCZ","Martin County","NC","USA","35.86219306","-77.17820278","","",""
"ESC","Delta County","MI","USA","45.72266972","-87.09373139","","",""
"DUA","Eaker ","OK","USA","33.942265","-96.39451806","","",""
"PMB","Pembina Municipal","ND","USA","48.9425","-97.24083333","","",""
"O81","Tulelake Municipal","CA","USA","41.88738","-121.3594331","","",""
"GCM","Claremore Regional","OK","USA","36.29441667","-95.47966667","","",""
"DSV","Dansville Muni","NY","USA","42.57089972","-77.71305083","","",""
"PJY","Pinckneyville-Duquoin","IL","USA","37.97788417","-89.36044889","","",""
"ND29","La Moure Rott Municipal","ND","USA","46.34663556","-98.28371","","",""
"OCW","Warren ","NC","USA","35.57046806","-77.04981306","","",""
"SJN","St Johns Industrial Air Park","AZ","USA","34.51855556","-109.37875","","",""
"PAH","Barkley Regional","KY","USA","37.06083333","-88.77375","","",""
"FBL","Faribault Municipal","MN","USA","44.32468556","-93.31082889","","",""
"LPR","Lorain Co Regional","OH","USA","41.34427778","-82.17763889","","",""
"SMQ","Somerset ","NJ","USA","40.62599083","-74.67024333","","",""
"6D6","Greenville Municipal","MI","USA","43.14228139","-85.25380722","","",""
"PGA","Page Municipal","AZ","USA","36.92611111","-111.4483611","","",""
"P32","H.A. Clark Memorial ","AZ","USA","35.30223222","-112.1940575","","",""
"TVI","Thomasville Municipal","GA","USA","30.90155194","-83.88133556","","",""
"ISM","Kissimmee Municipal","FL","USA","28.28980556","-81.43708333","","",""
"O24","Lee Vining","CA","USA","37.95825861","-119.1065375","","",""
"HTH","Hawthorne Municipal","NV","USA","38.54436583","-118.6343003","","",""
"9A6","Chester Municipal","SC","USA","34.78933333","-81.19577778","","",""
"O11","Cherokee Nation","OK","USA","35.75703083","-94.64994417","","",""
"6B8","Caledonia County State","VT","USA","44.56911417","-72.01797889","","",""
"VER","Jesse Viertel Memorial","MO","USA","38.94577556","-92.68277139","","",""
"SD22","Hoven Municipal","SD","USA","45.25755861","-99.79783944","","",""
"HRX","Hereford Municipal","TX","USA","34.85761639","-102.3272017","","",""
"WLW","Willows-Glenn County","CA","USA","39.51635389","-122.2175106","","",""
"F17","Center Municipal","TX","USA","31.83158333","-94.15641667","","",""
"33N","Delaware Airpark","DE","USA","39.21837556","-75.59642667","","",""
"PHH","Andrews Municipal","SC","USA","33.45169472","-79.52620111","","",""
"AXX","Angel Fire","NM","USA","36.42240972","-105.2892967","","",""
"ASD","Slidell","LA","USA","30.345055","-89.82078833","","",""
"60J","Ocean Isle","NC","USA","33.90850556","-78.43667222","","",""
"PSX","Palacios Municipal","TX","USA","28.72751778","-96.2509675","","",""
"LEB","Lebanon Municipal","NH","USA","43.62637222","-72.30426722","","",""
"CIR","Cairo","IL","USA","37.06447222","-89.21961111","","",""
"SDM","Brown  Municipal","CA","USA","32.57230556","-116.98025","","",""
"L31","Greater St. Tammany Parish ","LA","USA","30.44505417","-89.98887889","","",""
"CSM","Clinton-Sherman","OK","USA","35.33983917","-99.20049944","","",""
"3JC","Freeman ","KS","USA","39.04327556","-96.84328694","","",""
"BTI","Barter Island ","AK","USA","70.13390278","-143.5770444","","",""
"2P2","Washington Island","WI","USA","45.38620833","-86.92448056","","",""
"VNY","Van Nuys","CA","USA","34.20980972","-118.4899733","","",""
"EWB","New Bedford Municipal","MA","USA","41.67614167","-70.95694167","","",""
"PIM","Callaway Gardens-Harris County","GA","USA","32.84069444","-84.88244444","","",""
"USE","Fulton County","OH","USA","41.61033333","-84.12552778","","",""
"SIV","Sullivan County","IN","USA","39.1147125","-87.44832917","","",""
"LXY","Mexia-Limestone County","TX","USA","31.63983472","-96.51472222","","",""
"SOP","Moore County","NC","USA","35.23735278","-79.39116944","","",""
"MYF","Montgomery ","CA","USA","32.81573306","-117.1395664","","",""
"M15","Perry County","TN","USA","35.59590306","-87.87669361","","",""
"T65","Mid Valley","TX","USA","26.17763889","-97.97305556","","",""
"MBG","Mobridge Municipal","SD","USA","45.54650361","-100.4079192","","",""
"ILI","Iliamna","AK","USA","59.75380028","-154.9109597","","",""
"W96","New Kent County","VA","USA","37.50320139","-77.12552694","","",""
"C25","Waverly Municipal","IA","USA","42.7419525","-92.50793528","","",""
"9D2","Harding County","SD","USA","45.58055222","-103.5296356","","",""
"GKN","Gulkana","AK","USA","62.15488889","-145.4566389","","",""
"C91","Dowagiac Municipal ","MI","USA","41.99293417","-86.1280125","","",""
"MJX","Robert J. Miller Airpark","NJ","USA","39.92749806","-74.29237917","","",""
"FZI","Fostoria Metropolitan","OH","USA","41.19083111","-83.39453639","","",""
"6S2","Florence Muni","OR","USA","43.97901","-124.1095631","","",""
"3ND0","Northwood Municipal","ND","USA","47.72423333","-97.59042222","","",""
"X10","Belle Glade Municipal","FL","USA","26.70089833","-80.66227972","","",""
"GED","Sussex Cty Arpt","DE","USA","38.68919444","-75.35888889","","",""
"CHP","Circle Hot Springs","AK","USA","65.48547222","-144.6107836","","",""
"BNL","Barnwell County","SC","USA","33.25777778","-81.38833333","","",""
"PUC","Carbon County","UT","USA","39.61391556","-110.7514183","","",""
"55D","Grayling Army Airfield","MI","USA","44.68032028","-84.72886278","","",""
"MQI","Dare County Regional","NC","USA","35.91898806","-75.69553944","","",""
"PTN","Harry P. Williams Memorial","LA","USA","29.71081917","-91.33971778","","",""
"EEO","Meeker","CO","USA","40.04886222","-107.8859067","","",""
"O88","Rio Vista Municipal","CA","USA","38.1935","-121.7023889","","",""
"K59","Amelia Earhart","KS","USA","39.57052472","-95.18033139","","",""
"SAR","Sparta Community-Hunter ","IL","USA","38.14893833","-89.69870972","","",""
"0Q5","Shelter Cove","CA","USA","40.02764333","-124.0733639","","",""
"F22","Perry Municipal","OK","USA","36.38559583","-97.27721083","","",""
"TOC","Toccoa, R G Le Tourneau ","GA","USA","34.59376444","-83.2958","","",""
"OIC","Lt Warren Eaton","NY","USA","42.56655417","-75.52411167","","",""
"07C","Dekalb County","IN","USA","41.30716667","-85.06433333","","",""
"UBE","Cumberland Municipal ","WI","USA","45.50597028","-91.98108694","","",""
"P33","Cochise County","AZ","USA","32.24540278","-109.8946319","","",""
"66D","Sturgis Municipal","SD","USA","44.41761111","-103.3747778","","",""
"ZEF","Elkin Municipal","NC","USA","36.28002361","-80.78606861","","",""
"AWM","West Memphis Municipal","AR","USA","35.13505861","-90.23444639","","",""
"E06","Lea County-Zip Franklin Memorial","NM","USA","32.95394444","-103.4087778","","",""
"FUL","Fullerton Municipal","CA","USA","33.87201417","-117.9797842","","",""
"OGS","Ogdensburg Intl","NY","USA","44.68185361","-75.46549917","","",""
"HZE","Mercer County Regional","ND","USA","47.28986111","-101.5809444","","",""
"4D9","Alma Municipal","NE","USA","40.11389972","-99.34565306","","",""
"DMO","Sedalia Memorial","MO","USA","38.70688889","-93.17611111","","",""
"LBL","Liberal Municipal","KS","USA","37.04420944","-100.9598611","","",""
"HZD","Carroll County","TN","USA","36.08930722","-88.46329778","","",""
"6R3","Cleveland Municipal","TX","USA","30.35643","-95.00801472","","",""
"B01","Granville","NY","USA","43.42507111","-73.26205306","","",""
"13K","Eureka Municipal","KS","USA","37.8515825","-96.29169806","","",""
"PTB","Dinwiddie County","VA","USA","37.18375833","-77.50738889","","",""
"B21","Sugarloaf Regional","ME","USA","45.08616639","-70.21617778","","",""
"O08","Colusa County","CA","USA","39.17903","-121.9933611","","",""
"TCL","Tuscaloosa Municipal","AL","USA","33.2206275","-87.61140139","","",""
"1V6","Fremont County","CO","USA","38.42838111","-105.1054994","","",""
"OCQ","Oconto Municipal","WI","USA","44.8735825","-87.9090525","","",""
"STC","St Cloud Regional","MN","USA","45.54532417","-94.05833667","","",""
"KKB","Kitoi Bay SPB","AK","USA","58.19094611","-152.3704875","","",""
"LYO","Lyons-Rice County Municipal","KS","USA","38.34261472","-98.22709639","","",""
"4S3","Joseph State","OR","USA","45.35709583","-117.2532244","","",""
"CXE","Chase City Municipal","VA","USA","36.78833556","-78.50155361","","",""
"01G","Perry-Warsaw","NY","USA","42.74134667","-78.05208056","","",""
"LVJ","Clover ","TX","USA","29.52130556","-95.24216667","","",""
"9I0","Havana Regional","IL","USA","40.221155","-90.02289361","","",""
"5J9","Twin City","SC","USA","34.08848361","-78.86462028","","",""
"YAP","Yap International","","Federated States of Micronesia","9.5167","138.1","","",""
"FGX","Fleming-Mason","KY","USA","38.54180556","-83.74338889","","",""
"COE","Coeur D'Alene Air Terminal","ID","USA","47.77429167","-116.8196231","","",""
"75J","Turner County","GA","USA","31.68545833","-83.63211194","","",""
"FNB","Brenner ","NE","USA","40.07878611","-95.59199167","","",""
"CXC","Chitina","AK","USA","61.58285917","-144.4270969","","",""
"4C8","Albia Municipal","IA","USA","40.99445361","-92.76297194","","",""
"33S","Pru ","WA","USA","47.12487194","-118.3927539","","",""
"PPA","Perry Lefors ","TX","USA","35.61298806","-100.9962608","","",""
"ORB","Orr Regional","MN","USA","48.01592194","-92.85605139","","",""
"5V5","Shiprock Airstrip","NM","USA","36.6977775","-108.7011986","","",""
"BLM","Allaire Arpt","NJ","USA","40.18691806","-74.12488694","","",""
"S64","Stanford","MT","USA","47.14718944","-110.2299289","","",""
"EBS","Webster City Municipal","IA","USA","42.43663889","-93.86886111","","",""
"CHK","Chickasha Municipal","OK","USA","35.09614694","-97.96618361","","",""
"7A5","Roanoke Municipal","AL","USA","33.12928722","-85.366615","","",""
"I18","Jackson County","WV","USA","38.92977778","-81.81947222","","",""
"FLX","Fallon Municipal","NV","USA","39.499545","-118.7490197","","",""
"CQX","Chatham Municipal","MA","USA","41.68840028","-69.98952417","","",""
"FSE","Fosston Municipal","MN","USA","47.59282028","-95.77349889","","",""
"FFZ","Falcon ","AZ","USA","33.46083333","-111.7283333","","",""
"ND26","Kenmare Municipal","ND","USA","48.66758278","-102.0475944","","",""
"FFM","Fergus Falls Muni-Einar Mickelson","MN","USA","46.28439389","-96.15668556","","",""
"I43","James A Rhodes","OH","USA","38.98135194","-82.57785667","","",""
"20M","Macon Municipal","MS","USA","33.13345889","-88.53559806","","",""
"O27","Oakdale","CA","USA","37.75634472","-120.8002089","","",""
"N25","Westport ","NY","USA","44.15838611","-73.43290444","","",""
"I74","Grimes ","OH","USA","40.12928306","-83.7548775","","",""
"MSV","Sullivan Cty Intl","NY","USA","41.70164917","-74.79501389","","",""
"AOO","Altoona-Blair Cty","PA","USA","40.29637222","-78.32002306","","",""
"EAU","Chippewa Valley Regional","WI","USA","44.86525722","-91.48507194","","",""
"ULS","Ulysses","KS","USA","37.60375278","-101.3733889","","",""
"STP","St Paul Downtown Holman ","MN","USA","44.9344725","-93.05999861","","",""
"MCE","Merced Municipal/MacReady ","CA","USA","37.28472861","-120.5138858","","",""
"WBW","Wilkes-Barre Wyoming Valley","PA","USA","41.29717222","-75.85120556","","",""
"BFD","Bradford Reg","PA","USA","41.80306778","-78.64012083","","",""
"PDC","Prairie Du Chien Municipal","WI","USA","43.01928889","-91.12374722","","",""
"S33","City-County","OR","USA","44.66623139","-121.1631","","",""
"HUF","Terre Haute International-Hulman ","IN","USA","39.45146361","-87.30756111","","",""
"HLG","Wheeling-Ohio Cty","WV","USA","40.175","-80.64627778","","",""
"GAF","Grafton Municipal","ND","USA","48.40469444","-97.37094444","","",""
"ASJ","Tri-County","NC","USA","36.29752583","-77.17085556","","",""
"1F0","Downtown Ardmore","OK","USA","34.14698917","-97.12265194","","",""
"TNP","Twentynine Palms","CA","USA","34.13208528","-115.9458319","","",""
"PKD","Park Rapids Municipal","MN","USA","46.90062583","-95.07313278","","",""
"F00","Jones ","TX","USA","33.61172222","-96.17938889","","",""
"CLI","Clintonville Municipal","WI","USA","44.61381306","-88.73126667","","",""
"8S1","Polson","MT","USA","47.69543861","-114.1851178","","",""
"X96","Cruz Bay Harbor Seaplane Base","VI","USA","18.33689833","-64.79958306","","",""
"WDG","Enid Woodring Municipal","OK","USA","36.37920333","-97.79111222","","",""
"OSC","Oscoda - Wurtsmith","MI","USA","44.45260972","-83.38036389","","",""
"MBY","Omar N Bradley","MO","USA","39.46392583","-92.42759778","","",""
"OWD","Norwood Memorial","MA","USA","42.19079694","-71.17310389","","",""
"47N","Central Jersey Regional","NJ","USA","40.52438417","-74.59839194","","",""
"S03","Ashland Muni-Sumner Parker ","OR","USA","42.19028361","-122.6606283","","",""
"26A","Ashland/Lineville","AL","USA","33.28761417","-85.80412861","","",""
"X16","Vandenberg ","FL","USA","28.01398389","-82.34527917","","",""
"MVC","Monroe County","AL","USA","31.45805306","-87.35104028","","",""
"CPM","Compton/Woodley","CA","USA","33.89001611","-118.2436831","","",""
"1G5","Freedom ","OH","USA","41.13144444","-81.76491667","","",""
"FBR","Fort Bridger","WY","USA","41.39193583","-110.4067961","","",""
"EST","Estherville Municipal","IA","USA","43.40744444","-94.74641667","","",""
"MQB","Macomb Municipal","IL","USA","40.52034556","-90.65246389","","",""
"2G3","Connellsville","PA","USA","39.95893667","-79.65713306","","",""
"PHN","St Clair County International","MI","USA","42.91095778","-82.52886139","","",""
"9G8","Ebensburg","PA","USA","40.46121083","-78.77524389","","",""
"CTB","Cut Bank Muni","MT","USA","48.60835444","-112.3761464","","",""
"BTN","Britton Municipal","SD","USA","45.81522222","-97.74313889","","",""
"TTN","Trenton-Mercer County ","NJ","USA","40.27669111","-74.81346833","","",""
"S87","Weiser Municipal","ID","USA","44.20683056","-116.9623869","","",""
"PTT","Pratt Industrial","KS","USA","37.7000175","-98.7462025","","",""
"8D4","Sparta","MI","USA","43.12860833","-85.67689778","","",""
"PHK","Palm Beach County Glades","FL","USA","26.78503861","-80.69335528","","",""
"3MY","Mt. Hawley Auxiliary","IL","USA","40.79525917","-89.6134025","","",""
"CNH","Claremont Municipal","NH","USA","43.37043194","-72.36867667","","",""
"F05","Vernon - Wilbarger County","TX","USA","34.22566806","-99.28375","","",""
"5G7","Bluffton","OH","USA","40.88544444","-83.86863889","","",""
"RKP","Aransas County","TX","USA","28.08677778","-97.04461111","","",""
"COT","Cotulla-Lasalle County","TX","USA","28.45825583","-99.22016389","","",""
"CAR","Caribou Municipal","ME","USA","46.8715","-68.01791667","","",""
"ADG","Lenawee County","MI","USA","41.86943667","-84.07480528","","",""
"UTS","Huntsville Municipal","TX","USA","30.74688667","-95.58716667","","",""
"EVW","Evanston-Uinta County Burns ","WY","USA","41.27494528","-111.0321286","","",""
"CCB","Cable","CA","USA","34.11154056","-117.6875897","","",""
"13C","Lakeview","MI","USA","43.45213722","-85.26480333","","",""
"T82","Gillespie County","TX","USA","30.24369444","-98.90952778","","",""
"LEW","Auburn-Lewiston Municipal","ME","USA","44.04847278","-70.2835075","","",""
"BGF","Winchester Municipal","TN","USA","35.17753417","-86.06616722","","",""
"SHH","Shishmaref","AK","USA","66.24956861","-166.0895589","","",""
"WWR","West Woodward","OK","USA","36.4367025","-99.5209975","","",""
"1O4","Thomas Municipal","OK","USA","35.73338222","-98.73063833","","",""
"HVR","Havre City-County","MT","USA","48.542985","-109.7623419","","",""
"3K6","St Louis-Metro East","IL","USA","38.73290861","-89.80656722","","",""
"MIB","Minot AFB","","USA","48.415769","-101.358039","","",""
"8G2","Lawrence","PA","USA","41.90755611","-79.64105083","","",""
"LBX","Brazoria County","TX","USA","29.10863889","-95.46208056","","",""
"MBO","Bruce Campbell ","MS","USA","32.43866444","-90.10309222","","",""
"7A0","Greensboro Municipal","AL","USA","32.68147222","-87.66208333","","",""
"2V2","Vance Brand","CO","USA","40.16367139","-105.1630369","","",""
"C62","Kendallville Municipal","IN","USA","41.47271639","-85.26080833","","",""
"LUP","Kalaupapa","HI","USA","21.21104028","-156.9735972","","",""
"88M","Eureka","MT","USA","48.96885444","-115.0704464","","",""
"7M1","McGehee Municipal","AR","USA","33.62022111","-91.36484056","","",""
"5ND6","Hillsboro Municipal","ND","USA","47.35940778","-97.06041639","","",""
"3O9","Grand Lake Regional","OK","USA","36.5775775","-94.86190028","","",""
"E26","Lea County","NM","USA","32.13107833","-103.1548506","","",""
"4J5","Quitman-Brooks County","GA","USA","30.80575139","-83.58654889","","",""
"MLS","Frank Wiley ","MT","USA","46.42795972","-105.8862397","","",""
"1O1","Grandfield Municipal","OK","USA","34.23758944","-98.74200917","","",""
"Q99","South County  of Santa Clara Co","CA","USA","37.08158611","-121.5968056","","",""
"MTH","Florida Keys Marathon","FL","USA","24.72614083","-81.05137806","","",""
"4A9","Isbell ","AL","USA","34.4728925","-85.72221722","","",""
"AIG","Langlade County","WI","USA","45.15419444","-89.11072222","","",""
"MTV","Blue Ridge","VA","USA","36.63074861","-80.01834917","","",""
"LAF","Purdue University","IN","USA","40.41231694","-86.93689889","","",""
"EQA","Captain Jack Thomas","KS","USA","37.77410833","-96.81762778","","",""
"AZE","Hazelhurst","GA","USA","31.88465639","-82.64738778","","",""
"0M6","Panola County","MS","USA","34.36677444","-89.90008917","","",""
"2T1","Muleshoe Municipal","TX","USA","34.18513639","-102.6410981","","",""
"Q88","Paradise Skypark","CA","USA","39.70960639","-121.6163617","","",""
"4SD","Reno/Stead","NV","USA","39.66738111","-119.8754169","","",""
"SNK","Winston ","TX","USA","32.69338667","-100.9504525","","",""
"IOW","Iowa City Municipal","IA","USA","41.63924389","-91.54650333","","",""
"CJR","Culpeper Regional","VA","USA","38.5267075","-77.85885528","","",""
"5F4","Homer Municipal","LA","USA","32.78850806","-93.00366083","","",""
"M54","Lebanon Municipal","TN","USA","36.19041667","-86.31569444","","",""
"1B1","Columbia Cty","NY","USA","42.29130028","-73.71031944","","",""
"W99","Grant County","WV","USA","38.99419444","-79.14438889","","",""
"HAE","Hannibal Municipal","MO","USA","39.72448944","-91.44367944","","",""
"ASH","Boire ","NH","USA","42.78176306","-71.51477944","","",""
"MNF","Mountain View","MO","USA","36.99282694","-91.71445611","","",""
"CUL","Carmi Municipal","IL","USA","38.08947917","-88.12306111","","",""
"S43","Harvey ","WA","USA","47.90815306","-122.1054072","","",""
"GGE","Georgetown County","SC","USA","33.31169444","-79.31958333","","",""
"MCG","McGrath","AK","USA","62.95287361","-155.6057625","","",""
"5U8","Geraldine","MT","USA","47.59664","-110.2660367","","",""
"S01","Conrad","MT","USA","48.16863889","-111.9764722","","",""
"09M","Charleston Municipal","MS","USA","33.99150222","-90.078145","","",""
"LNL","Kings Land O' Lakes","WI","USA","46.15387722","-89.21194417","","",""
"TIX","Space Cost Regional","FL","USA","28.51479944","-80.7992275","","",""
"HOB","Lea County Regional","NM","USA","32.68752778","-103.2170278","","",""
"HAB","Marion County","AL","USA","34.11757222","-87.99819583","","",""
"56D","Wyandot County","OH","USA","40.88336139","-83.3145325","","",""
"HWV","Brookhaven","NY","USA","40.81676528","-72.86204722","","",""
"05F","Gatesville - City/County","TX","USA","31.42127556","-97.79696778","","",""
"6A4","Johnson County","TN","USA","36.41789833","-81.82511528","","",""
"71J","Blackwell ","AL","USA","31.43113889","-85.61922222","","",""
"MWK","Mount Airy-Surry County","NC","USA","36.459735","-80.55295722","","",""
"HNS","Haines","AK","USA","59.24522806","-135.5221086","","",""
"VQQ","Cecil ","FL","USA","30.21867306","-81.87666444","","",""
"2W5","Maryland","MD","USA","38.60053667","-77.07296917","","",""
"I25","Welch Muni","WV","USA","37.41678056","-81.52899417","","",""
"UCY","Everett-Stewart","TN","USA","36.38025","-88.98547778","","",""
"ROR","Babelthoup/Koror","","Palau","7.367222","134.544167","","",""
"GGP","Logansport Municipal","IN","USA","40.71126139","-86.37449917","","",""
"SCB","Scribner State","NE","USA","41.61033333","-96.62986111","","",""
"U30","Temple Bar","AZ","USA","36.02054056","-114.3352461","","",""
"KAL","Kaltag","AK","USA","64.32571917","-158.7441475","","",""
"4R5","Madeline Island","WI","USA","46.78865556","-90.75866944","","",""
"HGR","Hagerstown Regional-Richard Henson ","MD","USA","39.70794444","-77.7295","","",""
"Z13","Akiachak","AK","USA","60.90453167","-161.42091","","",""
"RCA","Ellsworth AFB","","USA","44.145094","-103.103567","","",""
"6R7","Old Harbor (New)","AK","USA","57.21810306","-153.2697494","","",""
"4O5","Cherokee Municipal","OK","USA","36.78336306","-98.35035083","","",""
"HSB","Harrisburg-Raleigh","IL","USA","37.8115","-88.54913889","","",""
"TEL","Perry County Municipal","IN","USA","38.01769694","-86.69093","","",""
"O32","Reedley Municipal","CA","USA","36.66633917","-119.4498483","","",""
"FFA","First Flight","NC","USA","36.01822278","-75.67128694","","",""
"I22","Randolph County","IN","USA","40.16885083","-84.92585333","","",""
"Z17","Ophir","AK","USA","63.1460375","-156.529865","","",""
"GLW","Glasgow Municipal","KY","USA","37.03205556","-85.95261111","","",""
"LMS","Louisville-Winston County","MS","USA","33.14620944","-89.06247917","","",""
"RBE","Bassett Municipal","NE","USA","42.56966667","-99.56836111","","",""
"O43","Yerington Municipal","NV","USA","39.00408444","-119.1579303","","",""
"45J","Rockingham-Hamlet","NC","USA","34.89107083","-79.75905806","","",""
"05C","Griffith-Merrillville ","IN","USA","41.51961917","-87.40109333","","",""
"RPD","Rice Lake Regional-Carl's ","WI","USA","45.41809056","-91.77365194","","",""
"DAN","Danville Regional","VA","USA","36.57286111","-79.33611111","","",""
"U25","Dubois Municipal","WY","USA","43.54834722","-109.6902611","","",""
"M59","Richton-Perry County","MS","USA","31.31739944","-88.93504778","","",""
"BED","Laurence G Hanscom ","MA","USA","42.46995306","-71.28903","","",""
"6B9","Skaneateles Aero Drome","NY","USA","42.91395583","-76.44076889","","",""
