"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"MAZ","Eugenio Maria De Hostos","18.25569444","-67.14847222","","","","","","","",""
"HZY","Ashtabula County","41.77797528","-80.69551333","","","","","","","",""
"H96","Benton Municipal","38.00675111","-88.93441528","","","","","","","",""
"CFK","Chefornak","60.14922556","-164.2856325","","","","","","","",""
"52A","Madison Municipal","33.61212528","-83.46044333","","","","","","","",""
"5NK","Naknek","58.73288056","-157.0199197","","","","","","","",""
"PRO","Perry Municipal","41.82801306","-94.15990361","","","","","","","",""
"OEL","Oakley Municipal","39.10994444","-100.8164444","","","","","","","",""
"O86","Trinity Center","40.98320111","-122.6941889","","","","","","","",""
"BKX","Brookings Municipal","44.30483333","-96.81694444","","","","","","","",""
"3F7","Jones Memorial","35.80685278","-96.42185556","","","","","","","",""
"S18","Forks","47.94146583","-124.3929867","","","","","","","",""
"LCG","Wayne Municipal","42.24188889","-96.98141667","","","","","","","",""
"ERY","Luce County Hale","46.31118694","-85.45731639","","","","","","","",""
"PNA","Ralph Wenz ","42.79549917","-109.8070944","","","","","","","",""
"M25","Mayfield-Graves County","36.76911111","-88.58472222","","","","","","","",""
"06N","Randall ","41.43156583","-74.39191722","","","","","","","",""
"L83","Thibodaux Municipal","29.74779194","-90.83289889","","","","","","","",""
"4M3","Carlisle Municipal","34.80823","-91.71205083","","","","","","","",""
"MGJ","Orange Cty","41.50998278","-74.26465056","","","","","","","",""
"27D","Myers ","44.72801889","-96.26309972","","","","","","","",""
"ULM","New Ulm Municipal","44.31957306","-94.50230778","","","","","","","",""
"FZG","Fitzgerald Municipal","31.68368667","-83.27046056","","","","","","","",""
"1C5","Clow","41.69597444","-88.12923056","","","","","","","",""
"L06","Furnace Creek","36.46383694","-116.8814425","","","","","","","",""
"AVO","Avon Park Municipal","27.591145","-81.52785333","","","","","","","",""
"B19","Biddeford Municipal","43.46411111","-70.47238889","","","","","","","",""
"1J0","Tri-County","30.84577778","-85.60138889","","","","","","","",""
"CIN","Arthur N Neu","42.04619444","-94.789","","","","","","","",""
"T53","Robstown-Nueces County","27.77854306","-97.69052389","","","","","","","",""
"TKA","Talkeetna","62.3205","-150.0936944","","","","","","","",""
"3G4","Ashland County","40.90297222","-82.25563889","","","","","","","",""
"DUG","Bisbee Douglas International","31.46902778","-109.6036667","","","","","","","",""
"W40","Mt Olive Municipal","35.22224722","-78.03779444","","","","","","","",""
"MBL","Manistee County Blacker","44.27319722","-86.2490025","","","","","","","",""
"4K6","Bloomfield Municipal","40.73210556","-92.42826889","","","","","","","",""
"0G0","North Buffalo Suburban","43.10318389","-78.70334583","","","","","","","",""
"FXY","Forest City Municipal","43.23473417","-93.6241025","","","","","","","",""
"SDA","Shenandoah Municipal","40.75148167","-95.41347222","","","","","","","",""
"ND28","Lakota Municipal","48.0313875","-98.32788111","","","","","","","",""
"U05","Riddick ","46.31936972","-113.3050642","","","","","","","",""
"MPV","Edward F Knapp State","44.203505","-72.56232944","","","","","","","",""
"EET","Shelby County","33.17781083","-86.78323722","","","","","","","",""
"TNU","Newton Municipal","41.67442972","-93.02172917","","","","","","","",""
"F10","Henryetta Municipal","35.40687972","-96.01583278","","","","","","","",""
"T90","Chambers County","29.80411","-94.43102306","","","","","","","",""
"N04","Griswold","41.27118222","-72.54972972","","","","","","","",""
"HNZ","Henderson-Oxford","36.36156111","-78.52916639","","","","","","","",""
"E38","Alpine-Casparis Municipal","30.38422222","-103.6835833","","","","","","","",""
"5M0","Rountree ","34.40823444","-86.93295056","","","","","","","",""
"MCX","White County","40.70881639","-86.76676139","","","","","","","",""
"AMG","Bacon County","31.53605556","-82.50655556","","","","","","","",""
"MIT","Shafter-Minter ","35.50592944","-119.1915236","","","","","","","",""
"7S6","White Sulphur Springs","46.50410722","-110.9132667","","","","","","","",""
"TMA","Henry Tift Myers","31.42879528","-83.48787167","","","","","","","",""
"EMP","Emporia Municipal","38.33211111","-96.19116667","","","","","","","",""
"SGY","Skagway","59.46006194","-135.3156636","","","","","","","",""
"PCW","Carl R. Keller ","41.51627778","-82.86869444","","","","","","","",""
"HFY","Greenwood Municipal","39.62841667","-86.08788889","","","","","","","",""
"GDW","Gladwin","43.97063278","-84.47503861","","","","","","","",""
"GEU","Glendale Municipal","33.52726278","-112.2951564","","","","","","","",""
"4A4","Cornelius-Moore ","34.01869444","-85.14647222","","","","","","","",""
"THM","Thompson Falls","47.57493556","-115.2843164","","","","","","","",""
"6S3","Columbus","45.6291075","-109.2507167","","","","","","","",""
"HRR","Healy River","63.86620806","-148.9689842","","","","","","","",""
"8D1","New Holstein Municipal","43.94424111","-88.1134775","","","","","","","",""
"MAO","Marion County","34.18116667","-79.33472222","","","","","","","",""
"O42","Woodlake","36.39883833","-119.1073289","","","","","","","",""
"ARV","Lakeland","45.92792556","-89.73094278","","","","","","","",""
"JYM","Hillsdale Municipal","41.92126083","-84.5857625","","","","","","","",""
"TSP","Tehachapi Municipal","35.13497222","-118.43925","","","","","","","",""
"SVA","Savoonga","63.68639444","-170.4926361","","","","","","","",""
"SKX","Taos Municipal","36.45819","-105.6724289","","","","","","","",""
"MKY","Marco Island","25.99502778","-81.67252778","","","","","","","",""
"M17","Bolivar Municipal","37.59693194","-93.34765","","","","","","","",""
"RVN","Hawkins County","36.45757917","-82.88503722","","","","","","","",""
"GNU","Goodnews","59.11727556","-161.5813967","","","","","","","",""
"N81","Hammonton Muni","39.66746889","-74.75773444","","","","","","","",""
"LKR","Lancaster County","34.72291667","-80.85458333","","","","","","","",""
"AVX","Catalina","33.40494444","-118.4158611","","","","","","","",""
"HPB","Hooper Bay","61.52418306","-166.1467797","","","","","","","",""
"F84","Stigler Municipal","35.28910556","-95.09389722","","","","","","","",""
"1D8","Redfield Municipal","44.86247611","-98.52953972","","","","","","","",""
"C47","Portage Municipal","43.5600925","-89.48309278","","","","","","","",""
"FNL","Fort Collins-Loveland ","40.45182722","-105.0113356","","","","","","","",""
"3N6","Old Bridge","40.32988667","-74.34678694","","","","","","","",""
"74D","Marshall Cty","39.88083333","-80.73577778","","","","","","","",""
"3M8","North Pickens ","33.38900611","-88.00557806","","","","","","","",""
"3D2","Ephraim/Gibraltar","45.13535778","-87.18586556","","","","","","","",""
"PMX","Metropolitan","42.22328722","-72.31138694","","","","","","","",""
"IIK","Kipnuk","59.93295111","-164.0305131","","","","","","","",""
"GAM","Gambell","63.76676556","-171.7328236","","","","","","","",""
"ZZV","Zanesville Municipal","39.94445833","-81.89210528","","","","","","","",""
"00R","Livingston Municipal","30.68586111","-95.01792778","","","","","","","",""
"GXY","Greeley-Weld County","40.43561833","-104.6321156","","","","","","","",""
"26U","McDermitt State","42.00211083","-117.7231972","","","","","","","",""
"SHD","Shenandoah Valley Regional","38.26384333","-78.89643806","","","","","","","",""
"GUY","Guymon Municipal","36.68507194","-101.5077817","","","","","","","",""
"BYA","Boundary","64.07830278","-141.113375","","","","","","","",""
"SVS","Stevens Village","66.00900528","-149.0959153","","","","","","","",""
"PR03","Fajardo Harbor Seaplane Base","18.339675","-65.62460583","","","","","","","",""
"44N","Sky Acres","41.70742861","-73.73802889","","","","","","","",""
"MZZ","Marion Municipal","40.49037278","-85.67914389","","","","","","","",""
"JLN","Joplin Regional","37.15181361","-94.49826833","","","","","","","",""
"4M4","Clinton Municipal","35.59785528","-92.45182472","","","","","","","",""
"WAY","Greene Cty","39.900075","-80.13311667","","","","","","","",""
"SYI","Bomar Field-Shelbyville Municipal","35.56009889","-86.44249333","","","","","","","",""
"NVD","Nevada Municipal","37.85206528","-94.30486472","","","","","","","",""
"S69","Lincoln","46.97494083","-112.6447606","","","","","","","",""
"4V0","Rangely","40.09469917","-108.7612172","","","","","","","",""
"25M","Ripley ","34.72226778","-89.01504944","","","","","","","",""
"AFK","Nebraska City Municipal","40.60688889","-95.86569444","","","","","","","",""
"AWG","Washington Municipal","41.27610083","-91.67344389","","","","","","","",""
"S45","Siletz Bay State","44.87761139","-124.0284472","","","","","","","",""
"MLL","Marshall","61.8659225","-162.0690456","","","","","","","",""
"E51","Bagdad","34.59585278","-113.170195","","","","","","","",""
"UBS","Columbus-Lowndes County","33.46539667","-88.38031639","","","","","","","",""
"S66","Homedale Municipal","43.61488056","-116.9215372","","","","","","","",""
"7S0","Ronan","47.57076861","-114.0967783","","","","","","","",""
"Y51","Viroqua Municipal","43.57913917","-90.90096333","","","","","","","",""
"M44","Houston Municipal","33.89177944","-89.02367194","","","","","","","",""
"0A8","Bibb County","32.93679056","-87.08888306","","","","","","","",""
"HBV","Jim Hogg County","27.34955556","-98.73697222","","","","","","","",""
"SLN","Salina Municipal","38.7914825","-97.65060333","","","","","","","",""
"N51","Solberg-Hunterdon","40.58286278","-74.73656222","","","","","","","",""
"K61","Moritz Memorial","39.47115222","-98.12878389","","","","","","","",""
"3A1","Folsom ","34.26870833","-86.85833611","","","","","","","",""
"HDH","Dillingham Airfield","21.57947361","-158.1972814","","","","","","","",""
"FAQ","Fitiuta","14.21577583","-169.4239058","","","","","","","",""
"3S9","Condon State-Pauling ","45.24651889","-120.1664233","","","","","","","",""
"GHM","Centerville Municipal","35.83742722","-87.445375","","","","","","","",""
"L18","Fallbrook Community Airpark","33.35419806","-117.2508686","","","","","","","",""
"DM2","Diomede Heliport","65.75861111","-168.9530556","","","","","","","",""
"M43","Prentiss-Jefferson Davis County","31.59544583","-89.90619056","","","","","","","",""
"L45","Bakersfield Municipal","35.32483333","-118.9958333","","","","","","","",""
"ELZ","Wellsville Muni Tarantine","42.10951194","-77.99194806","","","","","","","",""
"SLQ","Sleetmute","61.70931139","-157.1557008","","","","","","","",""
"DNN","Dalton Municipal","34.72174833","-84.86910806","","","","","","","",""
"4W1","Elizabethtown Municipal","34.60183722","-78.57973306","","","","","","","",""
"I69","Clermont County","39.07839722","-84.21020722","","","","","","","",""
"DOV","Dover Air Force Base","39.1301125","-75.46631028","","","","","","","",""
"01M","Tishomingo County","34.49166667","-88.20111111","","","","","","","",""
"CGX","Chicago Meigs","41.85884389","-87.60791167","","","","","","","",""
"11A","Clayton Municipal","31.88329917","-85.48491361","","","","","","","",""
"PMV","Plattsmouth Municipal","40.95025","-95.91788889","","","","","","","",""
"ARR","Aurora Municipal","41.77192944","-88.47565917","","","","","","","",""
"6V4","Wall Municipal","43.99498861","-102.2504367","","","","","","","",""
"4N1","Greenwood Lake","41.12854806","-74.34584611","","","","","","","",""
"93Y","David City Municipal","41.23334583","-97.11698111","","","","","","","",""
"2IS","Airglades","26.74200972","-81.04978917","","","","","","","",""
"LXN","Lexington (Jim Kelly )","40.791","-99.77727778","","","","","","","",""
"MOX","Morris Municipal","45.56651667","-95.96763611","","","","","","","",""
"Y50","Wautoma Municipal","44.04162556","-89.30448694","","","","","","","",""
"HCD","Hutchinson Municipal","44.85890667","-94.38178917","","","","","","","",""
"K39","St Clair Memorial","38.37594333","-90.97073944","","","","","","","",""
"DNV","Vermilion County","40.19946861","-87.59553528","","","","","","","",""
"SRB","Upper Cumberland Regional","36.05593278","-85.5307475","","","","","","","",""
"RTN","Raton Municipal/Crews ","36.74152778","-104.5021833","","","","","","","",""
"0R7","Red River","31.99071694","-93.30739306","","","","","","","",""
"OLF","L M Clayton","48.09451778","-105.5750536","","","","","","","",""
"1M5","Portland Municipal","36.59287528","-86.47691028","","","","","","","",""
"BHC","Baxley Municipal","31.71383333","-82.39377778","","","","","","","",""
"AKR","Akron Fulton Intl.","41.0375","-81.46693944","","","","","","","",""
"21D","Lake Elmo","44.99748861","-92.85568111","","","","","","","",""
"OTG","Worthington Municipal","43.65506611","-95.57920917","","","","","","","",""
"KAE","Kake SPB","56.97299639","-133.9456147","","","","","","","",""
"WCR","Chandalar Lake","67.50451667","-148.4832222","","","","","","","",""
"OLY","Olney-Noble","38.72182722","-88.17643278","","","","","","","",""
"BAF","Barnes Municipal","42.15773111","-72.71562028","","","","","","","",""
"LVN","Airlake ","44.62785361","-93.22810806","","","","","","","",""
"F81","Okemah Flying ","35.42925306","-96.28778361","","","","","","","",""
"OLZ","Oelwein Municipal","42.68084472","-91.97447833","","","","","","","",""
"H92","Hominy","36.43340222","-96.38362861","","","","","","","",""
"OXD","Miami University","39.50203917","-84.7841425","","","","","","","",""
"CTZ","Sampson County","34.97561194","-78.36461528","","","","","","","",""
"O46","Weed","41.47487","-122.4530739","","","","","","","",""
"P04","Bisbee Municipal","31.36399028","-109.8831286","","","","","","","",""
"BKE","Baker City Municipal","44.83733333","-117.8090833","","","","","","","",""
"3M9","Warren Municipal","33.56044333","-92.08538861","","","","","","","",""
"ORC","Orange City Municipal","42.99026444","-96.06279667","","","","","","","",""
"6N8","Thomas County ","41.96217028","-100.5690139","","","","","","","",""
"5M4","Fordyce Municipal","33.84593722","-92.36542861","","","","","","","",""
"HI01","Princeville","22.20919","-159.4455339","","","","","","","",""
"FET","Fremont Municipal","41.44913889","-96.52019444","","","","","","","",""
"3K7","Mark Hoard Memorial","38.45696333","-101.3532161","","","","","","","",""
"SNL","Shawnee Municipal","35.35730333","-96.94282833","","","","","","","",""
"OWA","Owatonna Degner Regional","44.12339722","-93.26061667","","","","","","","",""
"N99","Brandywine","39.99472222","-75.58333333","","","","","","","",""
"61S","Cottage Grove State","43.79984528","-123.0289678","","","","","","","",""
"2G9","Somerset County","40.03911111","-79.01455556","","","","","","","",""
"KEK","Ekwok","59.35399444","-157.4744092","","","","","","","",""
"STS","Sonoma Co","38.50897694","-122.8128803","","","","","","","",""
"F37","Wauchula Municipal","27.51364889","-81.88063917","","","","","","","",""
"6N7","New York Skyports Inc. SPB","40.73399083","-73.97291639","","","","","","","",""
"16S","Myrtle Creek Municipal","42.99845056","-123.3095092","","","","","","","",""
"PCK","Porcupine Creek","67.23789833","-150.2860608","","","","","","","",""
"8D7","Clark County","44.89570278","-97.71191361","","","","","","","",""
"17M","Magee Municipal","31.86127139","-89.80285361","","","","","","","",""
"FTY","Fulton County - Brown ","33.77913889","-84.52136111","","","","","","","",""
"IRK","Kirksville Regional","40.09364444","-92.54496917","","","","","","","",""
"HEZ","Natchez-Adams County","31.61366111","-91.29733639","","","","","","","",""
"SZY","Robert Sibley","35.20295","-88.49836139","","","","","","","",""
"L12","Redlands Municipal","34.08526167","-117.1463789","","","","","","","",""
"18I","McCreary County ","36.69591306","-84.39160389","","","","","","","",""
"PYG","Pageland","34.74213889","-80.34519444","","","","","","","",""
"O54","Lonnie Pool /Weaverville","40.7457","-122.92197","","","","","","","",""
"2D1","Barber","40.97089139","-81.09981889","","","","","","","",""
"SD16","Eureka Municipal","45.79998111","-99.6420625","","","","","","","",""
"2G2","Jefferson County Airpark","40.35944306","-80.70007806","","","","","","","",""
"FVX","Farmville Municipal","37.35752861","-78.43779806","","","","","","","",""
"EYE","Eagle Creek Airpark","39.83070944","-86.29438056","","","","","","","",""
"4B1","Duanesburg","42.75840889","-74.13290472","","","","","","","",""
"ETH","Wheaton Municipal","45.78046056","-96.54353972","","","","","","","",""
"3R1","Bay City Municipal","28.973255","-95.86345528","","","","","","","",""
"4R3","Jackson Municipal","31.47210861","-87.89472083","","","","","","","",""
"SD32","Murdo Municipal","43.85165639","-100.7120811","","","","","","","",""
"4O3","Blackwell-Tonkawa Municipal","36.74511583","-97.34959972","","","","","","","",""
"3U8","Big Sandy","48.16247972","-110.1132631","","","","","","","",""
"F21","Memphis Municipal","34.73958944","-100.5297008","","","","","","","",""
"32S","Stevensville","46.52511111","-114.0528056","","","","","","","",""
"U08","Perkins ","36.56803","-114.4433133","","","","","","","",""
"CBK","Shaltz ","39.42753083","-101.0465719","","","","","","","",""
"2B7","Pittsfield Municipal","44.76852778","-69.37441667","","","","","","","",""
"TBR","Statesboro Municipal","32.48316667","-81.73727778","","","","","","","",""
"RUG","Rugby Municipal","48.39035917","-100.0242739","","","","","","","",""
"61C","Fort Atkinson Municipal","42.96320278","-88.81762806","","","","","","","",""
"GNF","Grenada Municipal","33.83253","-89.79822806","","","","","","","",""
"BDQ","Morrilton Municipal","35.13619528","-92.71349722","","","","","","","",""
"PWD","Sher-Wood","48.79030583","-104.533845","","","","","","","",""
"M04","Covington Municipal","35.583365","-89.58722167","","","","","","","",""
"3CM","James Clements Municipal","43.54691667","-83.89550222","","","","","","","",""
"MKL","McKellar-Sipes Regional","35.59987944","-88.91561611","","","","","","","",""
"HSP","Ingalls ","37.95144444","-79.83389444","","","","","","","",""
"FSK","Fort Scott Municipal","37.79843056","-94.76938111","","","","","","","",""
"EKN","Elkins-Randolph Co-Jennings Randolph","38.88944444","-79.85713889","","","","","","","",""
"PCM","Plant City Municipal","28.00021667","-82.16424167","","","","","","","",""
"BVK","Buckland","65.98228611","-161.1519778","","","","","","","",""
"Y27","Standing Rock","46.06638556","-100.6348492","","","","","","","",""
"SRC","Searcy Municipal","35.21194639","-91.737165","","","","","","","",""
"Q26","Terry County","33.173675","-102.1926208","","","","","","","",""
"S68","Orofino Municipal","46.49129139","-116.2768061","","","","","","","",""
"EOS","Neosho Memorial","36.81080556","-94.39169444","","","","","","","",""
"PAE","Snohomish County ","47.90762861","-122.2815892","","","","","","","",""
"I32","Morehead-Rowan County","38.13341472","-83.53796528","","","","","","","",""
"MFV","Accomack County","37.64688889","-75.76105556","","","","","","","",""
"BML","Berlin Municipal","44.57537278","-71.17593167","","","","","","","",""
"1ND3","Hamry ","46.6485775","-97.00564306","","","","","","","",""
"09J","Jekyll Island","31.07447222","-81.42777778","","","","","","","",""
"T78","Liberty Municipal","30.07780556","-94.69855556","","","","","","","",""
"SGS","South St.Paul Municipal","44.85713278","-93.03285389","","","","","","","",""
"M48","Houston Memorial","37.33009167","-91.97316944","","","","","","","",""
"S73","Kamiah Municipal","46.21934028","-116.0134736","","","","","","","",""
"24J","Suwannee County","30.30105583","-83.02318778","","","","","","","",""
"ICL","Schenck ","40.72178361","-95.02642667","","","","","","","",""
"RGK","Red Wing Municipal","44.58935611","-92.48496889","","","","","","","",""
"LFK","Lufkin-Angelina County","31.23401389","-94.75","","","","","","","",""
"68S","Davenport","47.65404528","-118.1677519","","","","","","","",""
"CXU","Camilla-Mitchell County","31.21291667","-84.23680556","","","","","","","",""
"45R","Kountz - Hawthorne ","30.33633806","-94.25754361","","","","","","","",""
"RYV","Watertown Municipal","43.16963222","-88.72321222","","","","","","","",""
"3T5","Fayette Regional Air Center","29.90930556","-96.9505","","","","","","","",""
"1A3","Martin Campbell ","35.01619111","-84.34631083","","","","","","","",""
"RNT","Renton Municipal","47.49313889","-122.21575","","","","","","","",""
"U69","Duchesne Municipal","40.19190167","-110.3809886","","","","","","","",""
"L67","Rialto Municipal ","34.12934361","-117.4016303","","","","","","","",""
"SUS","Spirit of St Louis","38.66187028","-90.65123","","","","","","","",""
"17Z","Manokotak","58.98896583","-159.0499739","","","","","","","",""
"51Z","Minto (New)","65.14370889","-149.3699647","","","","","","","",""
"5TE","Tetlin","63.13382361","-142.5219339","","","","","","","",""
"2O3","Angwin-Parrett ","38.57851778","-122.4352572","","","","","","","",""
"ONP","Newport Muni","44.58036111","-124.0579167","","","","","","","",""
"FWS","Spinks","32.56522778","-97.30807778","","","","","","","",""
"08D","Stanley Municipal","48.30079861","-102.4063514","","","","","","","",""
"GZS","Abernathy ","35.15371972","-87.05681444","","","","","","","",""
"AIA","Alliance Municipal","42.05325","-102.8037222","","","","","","","",""
"54J","Defuniak Springs","30.7313","-86.15160833","","","","","","","",""
"POF","Poplar Bluff Municipal","36.77394444","-90.32484722","","","","","","","",""
"P08","Coolidge Municipal","32.93594444","-111.4265278","","","","","","","",""
"CDN","Woodward ","34.28358333","-80.56486111","","","","","","","",""
"DYB","Summerville","33.06344444","-80.27933333","","","","","","","",""
"ISW","Alexander ","44.36033833","-89.83897056","","","","","","","",""
"VEL","Vernal","40.44090167","-109.5099203","","","","","","","",""
"MCZ","Martin County","35.86219306","-77.17820278","","","","","","","",""
"ESC","Delta County","45.72266972","-87.09373139","","","","","","","",""
"DUA","Eaker ","33.942265","-96.39451806","","","","","","","",""
"PMB","Pembina Municipal","48.9425","-97.24083333","","","","","","","",""
"O81","Tulelake Municipal","41.88738","-121.3594331","","","","","","","",""
"GCM","Claremore Regional","36.29441667","-95.47966667","","","","","","","",""
"DSV","Dansville Muni","42.57089972","-77.71305083","","","","","","","",""
"PJY","Pinckneyville-Duquoin","37.97788417","-89.36044889","","","","","","","",""
"ND29","La Moure Rott Municipal","46.34663556","-98.28371","","","","","","","",""
"OCW","Warren ","35.57046806","-77.04981306","","","","","","","",""
"SJN","St Johns Industrial Air Park","34.51855556","-109.37875","","","","","","","",""
"PAH","Barkley Regional","37.06083333","-88.77375","","","","","","","",""
"FBL","Faribault Municipal","44.32468556","-93.31082889","","","","","","","",""
"LPR","Lorain Co Regional","41.34427778","-82.17763889","","","","","","","",""
"SMQ","Somerset ","40.62599083","-74.67024333","","","","","","","",""
"6D6","Greenville Municipal","43.14228139","-85.25380722","","","","","","","",""
"PGA","Page Municipal","36.92611111","-111.4483611","","","","","","","",""
"P32","H.A. Clark Memorial ","35.30223222","-112.1940575","","","","","","","",""
"TVI","Thomasville Municipal","30.90155194","-83.88133556","","","","","","","",""
"ISM","Kissimmee Municipal","28.28980556","-81.43708333","","","","","","","",""
"O24","Lee Vining","37.95825861","-119.1065375","","","","","","","",""
"HTH","Hawthorne Municipal","38.54436583","-118.6343003","","","","","","","",""
"9A6","Chester Municipal","34.78933333","-81.19577778","","","","","","","",""
"O11","Cherokee Nation","35.75703083","-94.64994417","","","","","","","",""
"6B8","Caledonia County State","44.56911417","-72.01797889","","","","","","","",""
"VER","Jesse Viertel Memorial","38.94577556","-92.68277139","","","","","","","",""
"SD22","Hoven Municipal","45.25755861","-99.79783944","","","","","","","",""
"HRX","Hereford Municipal","34.85761639","-102.3272017","","","","","","","",""
"WLW","Willows-Glenn County","39.51635389","-122.2175106","","","","","","","",""
"F17","Center Municipal","31.83158333","-94.15641667","","","","","","","",""
"33N","Delaware Airpark","39.21837556","-75.59642667","","","","","","","",""
"PHH","Andrews Municipal","33.45169472","-79.52620111","","","","","","","",""
"AXX","Angel Fire","36.42240972","-105.2892967","","","","","","","",""
"ASD","Slidell","30.345055","-89.82078833","","","","","","","",""
"60J","Ocean Isle","33.90850556","-78.43667222","","","","","","","",""
"PSX","Palacios Municipal","28.72751778","-96.2509675","","","","","","","",""
"LEB","Lebanon Municipal","43.62637222","-72.30426722","","","","","","","",""
"CIR","Cairo","37.06447222","-89.21961111","","","","","","","",""
"SDM","Brown  Municipal","32.57230556","-116.98025","","","","","","","",""
"L31","Greater St. Tammany Parish ","30.44505417","-89.98887889","","","","","","","",""
"CSM","Clinton-Sherman","35.33983917","-99.20049944","","","","","","","",""
"3JC","Freeman ","39.04327556","-96.84328694","","","","","","","",""
"BTI","Barter Island ","70.13390278","-143.5770444","","","","","","","",""
"2P2","Washington Island","45.38620833","-86.92448056","","","","","","","",""
"VNY","Van Nuys","34.20980972","-118.4899733","","","","","","","",""
"EWB","New Bedford Municipal","41.67614167","-70.95694167","","","","","","","",""
"PIM","Callaway Gardens-Harris County","32.84069444","-84.88244444","","","","","","","",""
"USE","Fulton County","41.61033333","-84.12552778","","","","","","","",""
"SIV","Sullivan County","39.1147125","-87.44832917","","","","","","","",""
"LXY","Mexia-Limestone County","31.63983472","-96.51472222","","","","","","","",""
"SOP","Moore County","35.23735278","-79.39116944","","","","","","","",""
"MYF","Montgomery ","32.81573306","-117.1395664","","","","","","","",""
"M15","Perry County","35.59590306","-87.87669361","","","","","","","",""
"T65","Mid Valley","26.17763889","-97.97305556","","","","","","","",""
"MBG","Mobridge Municipal","45.54650361","-100.4079192","","","","","","","",""
"ILI","Iliamna","59.75380028","-154.9109597","","","","","","","",""
"W96","New Kent County","37.50320139","-77.12552694","","","","","","","",""
"C25","Waverly Municipal","42.7419525","-92.50793528","","","","","","","",""
"9D2","Harding County","45.58055222","-103.5296356","","","","","","","",""
"GKN","Gulkana","62.15488889","-145.4566389","","","","","","","",""
"C91","Dowagiac Municipal ","41.99293417","-86.1280125","","","","","","","",""
"MJX","Robert J. Miller Airpark","39.92749806","-74.29237917","","","","","","","",""
"FZI","Fostoria Metropolitan","41.19083111","-83.39453639","","","","","","","",""
"6S2","Florence Muni","43.97901","-124.1095631","","","","","","","",""
"3ND0","Northwood Municipal","47.72423333","-97.59042222","","","","","","","",""
"X10","Belle Glade Municipal","26.70089833","-80.66227972","","","","","","","",""
"GED","Sussex Cty Arpt","38.68919444","-75.35888889","","","","","","","",""
"CHP","Circle Hot Springs","65.48547222","-144.6107836","","","","","","","",""
"BNL","Barnwell County","33.25777778","-81.38833333","","","","","","","",""
"PUC","Carbon County","39.61391556","-110.7514183","","","","","","","",""
"55D","Grayling Army Airfield","44.68032028","-84.72886278","","","","","","","",""
"MQI","Dare County Regional","35.91898806","-75.69553944","","","","","","","",""
"PTN","Harry P. Williams Memorial","29.71081917","-91.33971778","","","","","","","",""
"EEO","Meeker","40.04886222","-107.8859067","","","","","","","",""
"O88","Rio Vista Municipal","38.1935","-121.7023889","","","","","","","",""
"K59","Amelia Earhart","39.57052472","-95.18033139","","","","","","","",""
"SAR","Sparta Community-Hunter ","38.14893833","-89.69870972","","","","","","","",""
"0Q5","Shelter Cove","40.02764333","-124.0733639","","","","","","","",""
"F22","Perry Municipal","36.38559583","-97.27721083","","","","","","","",""
"TOC","Toccoa, R G Le Tourneau ","34.59376444","-83.2958","","","","","","","",""
"OIC","Lt Warren Eaton","42.56655417","-75.52411167","","","","","","","",""
"07C","Dekalb County","41.30716667","-85.06433333","","","","","","","",""
"UBE","Cumberland Municipal ","45.50597028","-91.98108694","","","","","","","",""
"P33","Cochise County","32.24540278","-109.8946319","","","","","","","",""
"66D","Sturgis Municipal","44.41761111","-103.3747778","","","","","","","",""
"ZEF","Elkin Municipal","36.28002361","-80.78606861","","","","","","","",""
"AWM","West Memphis Municipal","35.13505861","-90.23444639","","","","","","","",""
"E06","Lea County-Zip Franklin Memorial","32.95394444","-103.4087778","","","","","","","",""
"FUL","Fullerton Municipal","33.87201417","-117.9797842","","","","","","","",""
"OGS","Ogdensburg Intl","44.68185361","-75.46549917","","","","","","","",""
"HZE","Mercer County Regional","47.28986111","-101.5809444","","","","","","","",""
"4D9","Alma Municipal","40.11389972","-99.34565306","","","","","","","",""
"DMO","Sedalia Memorial","38.70688889","-93.17611111","","","","","","","",""
"LBL","Liberal Municipal","37.04420944","-100.9598611","","","","","","","",""
"HZD","Carroll County","36.08930722","-88.46329778","","","","","","","",""
"6R3","Cleveland Municipal","30.35643","-95.00801472","","","","","","","",""
"B01","Granville","43.42507111","-73.26205306","","","","","","","",""
"13K","Eureka Municipal","37.8515825","-96.29169806","","","","","","","",""
"PTB","Dinwiddie County","37.18375833","-77.50738889","","","","","","","",""
"B21","Sugarloaf Regional","45.08616639","-70.21617778","","","","","","","",""
"O08","Colusa County","39.17903","-121.9933611","","","","","","","",""
"TCL","Tuscaloosa Municipal","33.2206275","-87.61140139","","","","","","","",""
"1V6","Fremont County","38.42838111","-105.1054994","","","","","","","",""
"OCQ","Oconto Municipal","44.8735825","-87.9090525","","","","","","","",""
"STC","St Cloud Regional","45.54532417","-94.05833667","","","","","","","",""
"KKB","Kitoi Bay SPB","58.19094611","-152.3704875","","","","","","","",""
"LYO","Lyons-Rice County Municipal","38.34261472","-98.22709639","","","","","","","",""
"4S3","Joseph State","45.35709583","-117.2532244","","","","","","","",""
"CXE","Chase City Municipal","36.78833556","-78.50155361","","","","","","","",""
"01G","Perry-Warsaw","42.74134667","-78.05208056","","","","","","","",""
"LVJ","Clover ","29.52130556","-95.24216667","","","","","","","",""
